exoplanet_name,star_name,M,M_errmin,M_errmax,m,m_errmin,m_errmax,P,P_errmin,P_errmax,a,a_errmin,a_errmax
KELT-11 b,KELT-11,1.438,0.052,0.061,0.195,0.019,0.019,4.736529,5.90E-05,6.80E-05,0.06229,0.00076,0.00088
KELT-12 b,WASP-86,1.239,0.028,0.028,0.95,0.14,0.14,5.0316144,3.06E-05,3.06E-05,0.0617,0.0013,0.00099
KELT-15 b,KELT-15,1.181,0.05,0.05,0.92,0.23,0.23,3.329441,1.60E-05,1.60E-05,0.04613,0.00065,0.00065
KELT-16 b,KELT-16,1.211,0.046,0.043,2.75,0.15,0.16,0.9689951,2.00E-06,2.00E-06,0.02044,0.00026,0.00024
KELT-17 b,KELT-17,1.635,0.061,0.066,1.31,0.29,0.29,3.0801716,5.30E-06,5.30E-06,0.04881,0.00061,0.00065
KELT-18 b,KELT-18,1.524,0.069,0.069,1.18,0.11,0.11,2.8717518,2.80E-06,2.80E-06,0.0455,0.00069,0.00069
KELT-2 A b,KELT-2 A,1.31,0.03,0.03,1.486,0.088,0.088,4.1137914,1.00E-05,1.00E-05,0.05498,0.0004,0.0004
KELT-21 b,KELT-21,1.458,0.029,0.029,3.91,3.9,0,3.6127647,3.30E-06,3.30E-06,0.05224,0.00035,0.00035
KELT-22A b,Kelt-22A,1.05,0.08,0.08,3.69,0.18,0.18,1.38665318,2.70E-07,2.70E-07,0.0248,0.0006,0.0006
KELT-23A b,KELT-23A,0.942,0.054,0.06,0.938,0.044,0.048,2.255251,0.00012,0.00012,0.03302,0.00068,0.00068
KELT-25 b,KELT-25,2.18,0.11,0.12,21,20,43,4.401131,5.90E-05,5.90E-05,0.0681,0.0011,0.0012
KELT-3 b,KELT-3,1.282,0.062,0.062,1.418,0.07,0.07,2.7033902,1.00E-05,1.00E-05,0.04117,0.00067,0.00067
KELT-4 A b,KELT-4 A,1.204,0.063,0.072,0.884,0.068,0.072,2.9895933,4.90E-06,4.90E-06,0.04321,0.00077,0.00085
KELT-6 b,KELT-6,1.126,0.058,0.058,0.442,0.019,0.019,7.845582,7.00E-07,7.00E-07,0.08,0.001,0.001
KELT-7 b,KELT-7,1.535,0.066,0.054,1.24,0.18,0.18,2.734784,9.00E-06,9.00E-06,0.0446,0.0013,0.0013
KELT-8 b,KELT-8,1.211,0.066,0.078,0.874,0.067,0.068,3.24406,0.00016,0.00016,0.04571,0.00084,0.00096
KOI-12 b,KOI-12,1.5,0.1,0.1,1.1,0.8,3.5,17.855182,6.00E-06,8.00E-06,0.154,0.003,0.004
KOI-1257 b,KOI-1257,0.99,0.05,0.05,1.45,0.35,0.35,86.647661,3.40E-05,3.40E-05,0.382,0.006,0.006
KOI-13 b,KOI-13,1.72,0.1,0.1,9.28,0.16,0.16,1.763588,1.00E-06,1.00E-06,0.03641,0.00087,0.00087
KOI-142 c,KOI-142,0.99,0.02,0.02,0.674,0.016,0.016,22.26492,0.00067,0.00067,0.1529,0.0021,0.0021
KOI-3680 b,KOI-3680,1.01,0.06,0.05,1.93,0.21,0.19,141.241671,8.60E-05,8.60E-05,0.534,0.03,0.012
KOI-415 b,KOI-415,0.94,0.06,0.06,62.14,2.69,2.69,166.78805,0.00022,0.00022,0.593,0.013,0.013
KOI-4777,KOI-4777,0.41,0.02,0.02,0.00107,0.00104,0,0.412,1.00E-06,1.00E-06,0.008,0.0003,0.0003
KOI-984 b,KOI-984,0.928,0.031,0.031,0.0544,0.009,0.009,4.2881785,3.50E-06,3.50E-06,0.0504,0.0006,0.0006
KOI-984 c,KOI-984,0.928,0.031,0.031,0.6601,0.126,0.126,21.512,0.0004,0.0004,0.1467,0.0015,0.0015
KPS-1 b,KPS-1,0.892,0.1,0.1,1.09,0.087,0.087,1.706291,6.00E-05,6.00E-05,0.0269,0.001,0.001
Kepler-10 b,Kepler-10,0.91,0.021,0.021,0.0145,0.0046,0.004,0.837491,2.00E-06,2.00E-06,0.0172,0.00168,0.00081
Kepler-10 c,Kepler-10,0.91,0.021,0.021,0.02319,0.00374,0.00415,45.2946,0.0008,0.0008,0.241,0.0019,0.0019
Kepler-101 b,Kepler-101,1.17,0.05,0.07,0.16,0.01,0.02,3.4876812,7.00E-06,7.00E-06,0.0474,0.0008,0.001
Kepler-105 b,Kepler-105,0.96,0.05,0.05,0.016,0.0129,0.0198,5.4122,2.00E-05,2.00E-05,0.066,0.003,0.003
Kepler-107 b,Kepler-107,1.24,0.03,0.03,0.01104,0.00478,0.00478,3.1800218,2.90E-06,2.90E-06,0.04544,0.00035,0.00035
Kepler-107 c,Kepler-107,1.24,0.03,0.03,0.02954,0.00557,0.00557,4.901452,1.00E-05,1.00E-05,0.06064,0.00047,0.00047
Kepler-107 e,Kepler-107,1.24,0.03,0.03,0.02706,0.01133,0.01133,14.749143,1.90E-05,1.90E-05,0.12639,0.00099,0.00099
Kepler-11 b,Kepler-11,0.96,0.03,0.03,0.006,0.003,0.004,10.3039,0.001,0.0006,0.091,0.003,0.003
Kepler-11 c,Kepler-11,0.96,0.03,0.03,0.009,0.005,0.009,13.0241,0.0008,0.0013,0.107,0.001,0.001
Kepler-11 d,Kepler-11,0.96,0.03,0.03,0.023,0.005,0.003,22.6845,0.0009,0.0009,0.155,0.001,0.001
Kepler-11 e,Kepler-11,0.96,0.03,0.03,0.025,0.007,0.005,31.9996,0.0012,0.0008,0.195,0.002,0.002
Kepler-11 f,Kepler-11,0.96,0.03,0.03,0.006,0.003,0.003,46.6888,0.0032,0.0027,0.25,0.009,0.009
Kepler-117 b,Kepler-117,1.13,0.02,0.13,0.094,0.033,0.033,18.7959228,7.50E-06,7.50E-06,0.1445,0.0014,0.0047
Kepler-117 c,Kepler-117,1.13,0.02,0.13,1.84,0.18,0.18,50.790391,1.40E-05,1.40E-05,0.2804,0.0028,0.0092
Kepler-12 b,Kepler-12,1.17,0.05,0.05,0.432,0.051,0.053,4.4379629,6.00E-07,6.00E-07,0.0553,0.0012,0.001
Kepler-15 b,Kepler-15,1.02,0.05,0.04,0.66,0.09,0.09,4.942782,1.30E-06,1.30E-06,0.05714,0.00093,0.00093
Kepler-1514 b,Kepler-1514,1.2,0.06,0.07,5.28,0.22,0.22,217.83184,0.00012,0.00012,0.753,0.014,0.014
Kepler-16 (AB) b,Kepler-16 (AB),0.8499,0.017,0.017,0.333,0.016,0.016,228.776,0.037,0.037,0.7048,0.001,0.001
Kepler-1647 (AB) b,Kepler-1647 (AB),2.1885,0.01,0.01,1.52,0.65,0.65,1107.5923,0.0227,0.0227,2.7205,0.007,0.007
Kepler-1655 b,Kepler-1655,1.03,0.04,0.04,0.01573,0.00881,0.00975,11.8728787,8.50E-06,8.50E-06,0.103,0.001,0.001
Kepler-1656 b,Kepler-1656,1.03,0.04,0.04,0.1504,0.0104,0.0195,31.562,0.11,0.11,0.1974,0.0026,0.0026
Kepler-1656 c,Kepler-1656,1.03,0.04,0.04,0.3977,0.091,0.091,1919,24,27,3.053,0.05,0.05
Kepler-167 d,Kepler-167,0.77,0.03,0.02,0.006,0.003,0.003,21.803855,0.000119,7.80E-05,0.1405,0.0071,0.005
Kepler-167 e,Kepler-167,0.77,0.03,0.02,4,3.7,46,1071.23228,0.00056,0.00056,1.89,0.067,0.068
Kepler-17 b,Kepler-17,1.16,0.06,0.06,2.45,0.014,0.014,1.4857108,2.00E-07,2.00E-07,0.02591,0.00037,0.00037
Kepler-1708 b,Kepler-1708,1.088,0.072,0.072,4.6,4.6,0,737.1131,0.0077,0.00146,1.64,0.1,0.1
Kepler-18 b,Kepler-18,0.97,0.04,0.04,0.022,0.011,0.011,3.504725,2.80E-05,2.80E-05,0.0447,0.0006,0.0006
Kepler-18 c,Kepler-18,0.97,0.04,0.04,0.054,0.006,0.006,7.64159,3.00E-05,3.00E-05,0.0752,0.0011,0.0011
Kepler-18 d,Kepler-18,0.97,0.04,0.04,0.052,0.004,0.004,14.85888,4.00E-05,4.00E-05,0.1172,0.0017,0.0017
Kepler-19 b,Kepler-19,0.94,0.04,0.04,0.02643,0.00472,0.00503,9.28716,6.00E-05,4.00E-05,0.085,0.0015,0.0006
Kepler-20 b,Kepler-20,0.95,0.05,0.05,0.03052,0.00453,0.00444,3.69611525,8.70E-07,1.15E-06,0.0463,0.0015,0.0009
Kepler-20 c,Kepler-20,0.95,0.05,0.05,0.04012,0.00705,0.00683,10.85409089,2.60E-06,3.03E-06,0.0949,0.0023,0.0027
Kepler-20 d,Kepler-20,0.95,0.05,0.05,0.03168,0.0116,0.0125,77.61130017,0.00011588,0.00012305,0.3506,0.0101,0.0081
Kepler-21 b,Kepler-21,1.41,0.03,0.02,0.01598,0.00541,0.00541,2.78578,3.00E-05,3.00E-05,0.042717,0,0
Kepler-289 b,Kepler-289,1.08,0.02,0.02,0.023,0.021,0.021,34.545,0.0005,0.0005,0.21,0.01,0.01
Kepler-289 c,Kepler-289,1.08,0.02,0.02,0.42,0.05,0.05,125.8518,0.0076,0.0076,0.51,0.03,0.03
Kepler-289 d,Kepler-289,1.08,0.02,0.02,0.013,0.003,0.003,66.0634,0.0114,0.0114,0.33,0.02,0.02
Kepler-34 (AB) b,Kepler-34 (AB),2.0687,0.0033,0.0033,0.22,0.011,0.011,288.822,0.081,0.081,1.0896,0.0009,0.0009
Kepler-35 (AB) b,Kepler-35 (AB),1.6971,0.007,0.007,0.1268,0.0201,0.0201,131.458,0.105,0.105,0.60347,0.00103,0.00103
Kepler-36 b,Kepler-36,1.03,0.02,0.02,0.01205,0.00031,0.00035,13.86825,0.0005,0.0005,0.1153,0.0015,0.0015
Kepler-36 c,Kepler-36,1.03,0.02,0.02,0.02243,0.00057,0.00057,16.21865,0.0001,0.0001,0.1283,0.0016,0.0016
Kepler-37 b,Kepler-37,0.87,0.15,0.15,0.01,0.01,0.01,13.36731,7.10E-05,7.10E-05,0.1003,0.0011,0.0008
Kepler-38 (AB) b,Kepler-38 A,0.949,0.059,0.059,0.38,0.38,0,105.595,0.038,0.038,0.4644,0.0082,0.0082
Kepler-39 b,Kepler-39,1.29,0.07,0.06,20.1,1.3,1.3,21.08721,3.70E-05,3.70E-05,0.164,0.003,0.003
Kepler-4 b,Kepler-4,1.22,0.09,0.05,0.077,0.012,0.012,3.21346,0.00022,0.00022,0.0456,0.0009,0.0009
Kepler-40 b,Kepler-40,1.48,0.06,0.06,2.2,0.4,0.4,6.87349,0.00064,0.00064,0.08,0.003,0.003
Kepler-41 b,Kepler-41,1.15,0.04,0.04,0.56,0.08,0.08,1.8555582,5.20E-07,5.20E-07,0.03101,0.0004,0.0004
Kepler-411 b,Kepler-411,0.87,0.04,0.04,0.08055,0.00818,0.00818,3.005156,2.00E-06,2.00E-06,0.0375,0.0008,0.0008
Kepler-411 c,Kepler-411,0.87,0.04,0.04,0.08306,0.01856,0.01856,7.834435,2.00E-06,2.00E-06,0.0739,0.001,0.001
Kepler-411 d,Kepler-411,0.87,0.04,0.04,0.04782,0.01605,0.01605,58.02035,0.00056,0.00056,0.279,0.004,0.004
Kepler-411 e,Kepler-411,0.87,0.04,0.04,0.03398,0.00346,0.00346,31.509728,8.50E-05,8.50E-05,0.186,0.003,0.003
Kepler-412 b,Kepler-412,1.17,0.09,0.09,0.941,0.019,0.125,1.7208604,3.00E-07,3.00E-07,0.02897,0.00092,0.00093
Kepler-419 b,Kepler-419,1.39,0.07,0.08,2.5,0.3,0.3,69.7546,0.0009,0.0007,0.37,0.006,0.007
Kepler-419 c,Kepler-419,1.39,0.07,0.08,7.3,0.4,0.4,675.47,0.11,0.11,1.68,0.18,0.18
Kepler-422 b,Kepler-422,1.15,0.06,0.06,0.43,0.13,0.13,7.8914483,5.10E-07,5.00E-07,0.082,0.01,0.011
Kepler-423 b,Kepler-423,0.85,0.04,0.04,0.595,0.081,0.081,2.6843285,8.20E-08,8.20E-08,0.03585,0.00114,0.00052
Kepler-424 b,Kepler-424,1.01,0.054,0.054,1.03,0.13,0.13,3.3118644,3.90E-07,3.90E-07,0.044,0.004,0.005
Kepler-425 b,Kepler-425,0.93,0.05,0.05,0.25,0.08,0.08,3.79701816,1.90E-07,1.90E-07,0.0464,0.0008,0.0008
Kepler-426 b,Kepler-426,0.91,0.06,0.06,0.34,0.08,0.08,3.21751883,1.90E-07,1.90E-07,0.0414,0.001,0.001
Kepler-427 b,Kepler-427,0.96,0.06,0.06,0.29,0.09,0.09,10.290994,1.10E-06,1.10E-06,0.091,0.01,0.01
Kepler-428 b,Kepler-428,0.87,0.05,0.05,1.27,0.19,0.19,3.52563254,1.50E-07,1.50E-07,0.0433,0.0009,0.0009
Kepler-43 b,Kepler-43,1.32,0.09,0.09,3.23,0.19,0.19,3.0240949,6.00E-07,6.00E-07,0.046,0.0025,0.0026
Kepler-432 b,Kepler-432,1.32,0.07,0.1,5.41,0.18,0.32,52.501129,5.30E-05,6.70E-05,0.301,0.016,0.011
Kepler-433 b,Kepler-433,1.46,0.17,0.17,2.82,0.52,0.52,5.33408384,1.10E-06,1.10E-06,0.0679,0.0027,0.0027
Kepler-434 b,Kepler-434,1.2,0.09,0.09,2.86,0.35,0.35,12.8747099,5.00E-06,5.00E-06,0.1143,0.003,0.003
Kepler-435 b,Kepler-435,1.54,0.09,0.09,0.84,0.15,0.15,8.6001536,1.80E-06,1.80E-06,0.0948,0.0018,0.0018
Kepler-44 b,Kepler-44,1.12,0.08,0.08,1,0.1,0.1,3.2467293,3.00E-06,3.00E-06,0.0446,0.0011,0.0011
Kepler-447 b,Kepler-447,1,0.21,0.21,1.37,0.46,0.48,7.79430132,1.82E-06,1.82E-06,0.0769,0.0062,0.0079
Kepler-448 c,KOI-12,1.5,0.1,0.1,22,5,7,2500,700,2400,4.2,0.9,2.4
Kepler-454 b,Kepler-454,0.85,0.22,0.22,0.01905,0.00475,0.00475,10.57,7.00E-08,7.00E-08,0.0954,0.0012,0.0012
Kepler-46 b,Kepler-46,0.902,0.04,0.04,6,6,0,33.60134,0.00021,0.00021,0.1968,0.0028,0.0029
Kepler-46 c,Kepler-46,0.902,0.04,0.04,0.376,0.019,0.021,57.011,0.061,0.051,0.2799,0.0041,0.0041
Kepler-47 (AB) d,Kepler-47 A,1.043,0.055,0.055,0.05984,0.0368,0.0749,187.35,0.15,0.15,0.6992,0.0033,0.0033
Kepler-492 b,Kepler-492,0.94,0.05,0.04,39.9,1,1,11.72012266,1.53E-06,1.53E-06,0.0987,0.0013,0.0013
Kepler-5 b,Kepler-5,1.37,0.06,0.04,2.111,0.086,0.067,3.5484657,7.00E-07,7.00E-07,0.0538,0.0021,0.0015
Kepler-50 b,Kepler-50,1.24,0.05,0.05,0.1,0.1,0,7.81254,0.0001,0.0001,0.077,0.02,0.012
Kepler-50 c,Kepler-50,1.24,0.05,0.05,0.11,0.11,0,9.37647,4.00E-05,4.00E-05,0.087,0.023,0.014
Kepler-51 b,Kepler-51,1.04,0.12,0.12,0.007,0.003,0.005,45.154,0.0002,0.0002,0.2514,0.0097,0.0097
Kepler-51 c,Kepler-51,1.04,0.12,0.12,0.013,0.001,0.001,85.312,0.002,0.003,0.384,0.015,0.015
Kepler-51 d,Kepler-51,1.04,0.12,0.12,0.024,0.003,0.003,130.194,0.005,0.002,0.509,0.02,0.02
Kepler-538 b,Kepler-538,0.89,0.04,0.05,0.03335,0.00755,0.00787,81.73778,0.00013,0.00013,0.4669,0.009,0.0087
Kepler-539 b,Kepler-539,1.05,0.04,0.04,0.97,0.29,0.29,125.63243,0.00071,0.00071,0.4988,0.0054,0.0054
Kepler-56 b,Kepler-56,1.32,0.13,0.13,0.07,0.012,0.012,10.5016,0.0011,0.0011,0.1028,0.0037,0.0037
Kepler-56 c,Kepler-56,1.32,0.13,0.13,0.57,0.06,0.066,21.40239,0.00062,0.00062,0.1652,0.0059,0.0059
Kepler-6 b,Kepler-6,1.21,0.04,0.04,0.668,0.035,0.038,3.2346996,4.00E-07,4.00E-07,0.04852,0.00133,0.00074
Kepler-62 d,Kepler-62,0.69,0.02,0.02,0.044,0.044,0,18.16406,2.00E-05,2.00E-05,0.12,0.001,0.001
Kepler-62 e,Kepler-62,0.69,0.02,0.02,0.113,0.113,0,122.3874,0.0008,0.0008,0.427,0.004,0.004
Kepler-62 f,Kepler-62,0.69,0.02,0.02,0.11,0.11,0,267.291,0.005,0.005,0.718,0.007,0.007
Kepler-64 (AB) b,Kepler-64 (AB),1.93,0.09,0.09,0.53,0.53,0,138.506,0.1,0.1,0.634,0.011,0.011
Kepler-65 d,Kepler-65,1.25,0.06,0.06,0.034,0.034,0,8.13123,2.00E-05,2.00E-05,0.084,0.002,0.006
Kepler-7 b,Kepler-7,1.36,0.03,0.03,0.441,0.042,0.043,4.8854892,9.00E-07,9.00E-07,0.06067,0.00059,0.00059
Kepler-74 b,Kepler-74,1.18,0.04,0.04,0.63,0.12,0.12,7.340711,6.00E-06,6.00E-06,0.0781,0.0007,0.0007
Kepler-75 b,Kepler-75,0.91,0.04,0.04,10.1,0.4,0.4,8.8849116,3.40E-06,3.40E-06,0.0818,0.0012,0.0012
Kepler-76 b,Kepler-76,1.2,0.2,0.2,2.01,0.35,0.37,1.5449298,4.00E-07,4.00E-07,0.0274,0.0019,0.002
Kepler-77 b,Kepler-77,0.95,0.04,0.04,0.43,0.032,0.032,3.57878087,2.30E-07,2.30E-07,0.04501,0.00063,0.00063
Kepler-78 b,Kepler-78,0.84,0.32,0.32,0.00619,0.00168,0.00168,0.35500744,6.00E-08,6.00E-08,0.01,0.011,0.0025
Kepler-79 b,Kepler-79,1.17,0.04,0.04,0.0343,0.019,0.023,13.4845,0.0002,0.0002,0.117,0.002,0.002
Kepler-79 c,Kepler-79,1.17,0.04,0.04,0.019,0.0072,0.006,27.4029,0.0006,0.0008,0.187,0.003,0.002
Kepler-79 d,Kepler-79,1.17,0.04,0.04,0.019,0.005,0.0066,52.0902,0.001,0.001,0.287,0.004,0.004
Kepler-79 e,Kepler-79,1.17,0.04,0.04,0.013,0.0035,0.0038,81.0659,0.0013,0.0013,0.386,0.005,0.005
Kepler-8 b,Kepler-8,1.21,0.06,0.07,0.59,0.12,0.13,3.5224991,7.00E-07,7.00E-07,0.0474,0.0021,0.0018
Kepler-80 b,Kepler-80,0.73,0.03,0.03,0.0218,0.0022,0.0033,7.05246,0.00022,0.0002,0.0648,0.0009,0.0009
Kepler-80 c,Kepler-80,0.73,0.03,0.03,0.02121,0.00271,0.00387,9.52355,0.00029,0.00041,0.0792,0.0011,0.0011
Kepler-80 d,Kepler-80,0.73,0.03,0.03,0.02124,0.0016,0.00217,3.07222,4.00E-05,6.00E-05,0.0372,0.0005,0.0005
Kepler-80 e,Kepler-80,0.73,0.03,0.03,0.01299,0.00299,0.00255,4.64489,0.00019,0.0002,0.0491,0.0007,0.0007
Kepler-82 b,Kepler-82,0.91,0.03,0.03,0.03823,0.00274,0.00302,26.44,0.48,0.48,0.1683,0.002,0.002
Kepler-82 c,Kepler-82,0.91,0.03,0.03,0.04373,0.00378,0.00409,51.54,0.94,0.94,0.2626,0.0032,0.0032
Kepler-82 f,Kepler-82,0.91,0.03,0.03,0.06576,0.00315,0.00315,75.732,0.012,0.012,0.3395,0.0041,0.0041
Kepler-86 b,Kepler-86,0.94,0.02,0.02,0.34235,0.101,0.094,282.5254,0.0001,0.0001,0.824,0.019,0.019
Kepler-87 b,Kepler-87,1.1,0.05,0.05,1.02,0.16,0.16,114.73635,0.00015,0.00015,0.481,0.028,0.026
Kepler-87 c,Kepler-87,1.1,0.05,0.05,0.02,0.003,0.003,191.2318,0.0015,0.0015,0.676,0.04,0.037
Kepler-88 d,KOI-142,0.99,0.02,0.02,3.05,0.16,0.16,1403,14,14,2.464,0.035,0.035
Kepler-89 b,KOI-94,1.28,0.05,0.05,0.033,0.014,0.014,3.743208,1.50E-05,1.50E-05,0.05119,0.00067,0.00067
Kepler-89 c,KOI-94,1.28,0.05,0.05,0.049,0.049,0.018,10.423648,1.60E-05,1.60E-05,0.1013,0.0013,0.0013
Kepler-89 d,KOI-94,1.28,0.05,0.05,0.334,0.035,0.035,22.342989,6.70E-06,6.70E-06,0.1684,0.0022,0.0022
Kepler-89 e,KOI-94,1.28,0.05,0.05,0.11,0.088,0.057,54.32031,0.00012,0.00012,0.3046,0.004,0.004
Kepler-9 b,Kepler-9,1.02,0.04,0.03,0.13655,0.00629,0.00503,19.23891,6.00E-05,6.00E-05,0.143,0.001,0.001
Kepler-9 c,Kepler-9,1.02,0.04,0.03,0.09408,0.00409,0.00346,38.9853,0.0003,0.0003,0.227,0.008,0.012
Kepler-9 d,Kepler-9,1.02,0.04,0.03,0.016518264,0.005506088,0.005506088,1.592851,4.50E-05,4.50E-05,0.0273,0.00043,0.00042
Kepler-91 b,Kepler-91,1.31,0.1,0.1,0.81,0.17,0.18,6.24658,8.20E-05,8.20E-05,0.0731,0.0031,0.0034
Kepler-93 b,Kepler-93,1.09,0.14,0.14,0.0143,0.00267,0.00267,4.72674,1.00E-06,1.00E-06,0.053,0.002,0.002
L 168-9 b,L 168-9,0.62,0.03,0.03,0.0145,0.00176,0.00176,1.4015,0.00018,0.00018,0.02091,0.00024,0.00024
L 98-59 b,L 98-59,0.32,0.03,0.03,0.0013,0.0005,0.0005,2.2531136,1.50E-06,1.20E-06,0.02191,0.00084,0.0008
L 98-59 c,L 98-59,0.32,0.03,0.03,0.00698,0.00082,0.00082,3.6906777,2.60E-06,1.60E-06,0.0304,0.0012,0.0012
L 98-59 d,L 98-59,0.32,0.03,0.03,0.0061,0.00088,0.00088,7.4507245,4.60E-06,8.00E-06,0.0486,0.0019,0.0019
LHS 1140 b,LHS 1140,0.146,0.019,0.019,0.02196,0.0028,0.0028,24.736,0.00025,0.00025,0.0936,0.0024,0.0024
LHS 1140 c,LHS 1140,0.146,0.019,0.019,0.00569,0.00123,0.00123,3.777931,3.00E-06,3.00E-06,0.02675,0.0007,0.0007
LHS 1478 b,LHS 1478,0.236,0.012,0.012,0.00733,0.0006,0.0006,1.9495378,4.10E-06,4.10E-06,0.01848,0.00063,0.00063
LHS 1610 b,LHS 1610,0.17,0.02,0.02,52,4,4,10.5918,0.0028,0.0028,0.0563,0.002,0.002
LHS 1678 b,LHS 1678,0.345,0.014,0.014,0.00019,0.00019,0.0003,0.8602322,6.80E-06,6.80E-06,0.01251,0.00059,0.00059
LHS 1678 c,LHS 1678,0.345,0.014,0.014,0.00123,0.00123,0.00135,3.694237,2.40E-06,2.40E-06,0.0331,0.0016,0.0016
LHS 1815 b,LHS 1815,0.502,0.015,0.015,0.0132,0.0047,0.0047,3.81433,3.00E-05,3.00E-05,0.0404,0.0094,0.0094
LHS 2397a B,LHS 2397a A,0.0839,0.0015,0.0007,64,15,15,5194,40,40,3.09,0.1,0.1
LKCA 15 b,LKCA 15,0.97,0.03,0.03,6,1,1,40000,0,0,15.7,2.1,2.1
LP 714-47 b,LP 714-47,0.59,0.02,0.02,0.0969,0.0047,0.0047,4.052037,4.00E-06,4.00E-06,0.0417,0.0005,0.0005
LP 890-9 b,LP 890-9,0.118,0.002,0.002,0.0415,0.0415,0,2.7299025,4.00E-06,3.40E-06,0.01875,0.0001,0.0001
LP 890-9 c,LP 890-9,0.118,0.002,0.002,0.0796,0.0796,0.0796,8.457463,2.40E-05,2.40E-05,0.03984,0.00022,0.00022
LTT 1445A b,LTT 1445A,0.256,0.014,0.014,0.00903,0.00082,0.00082,5.3587657,4.30E-06,4.30E-06,0.03813,0.0007,0.0007
LTT 1445A c,LTT 1445A,0.256,0.014,0.014,0.00485,0.0006,0.0006,3.1239035,3.60E-05,3.60E-05,0.0266,0.0005,0.0005
LTT 9779 b,LTT 9779,1,0.03,0.03,0.09225,0.00255,0.00245,0.792052,9.30E-06,9.30E-06,0.01679,0.00014,0.00014
Lupus-TR-3 b,Lupus-TR-3,0.87,0.004,0.004,0.81,0.18,0.18,3.91405,4.00E-05,4.00E-05,0.0464,0.0007,0.0007
MASCARA-1 b,MASCARA-1,1.72,0.07,0.07,3.7,0.9,0.9,2.14878,8.00E-06,8.00E-06,0.043,0.005,0.005
MASCARA-2 b/KELT-20 b,MASCARA-2,1.89,0.06,0.06,3.518,3.517,0,3.4741085,1.90E-06,1.90E-06,0.0542,0.0021,0.0014
MASCARA-3 b,HD 93148,1.461,0.06,0.056,5.18,0.22,0.22,5.5514926,8.00E-06,8.00E-06,0.06971,0.0096,0.0088
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,0.56,0.09,0.09,0.0327,0.005,0.005,2780,500,500,3.2,0.5,0.5
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,0.19,0.12,0.12,2.6,1.6,4.1,1970,1.6,1.6,1.8,0.7,0.7
NGTS-1 b,NGTS-1,0.617,0.062,0.023,0.812,0.025,0.066,2.647298,0.0002,0.0002,0.0326,0.0047,0.0047
NGTS-10 b,NGTS-10,0.696,0.04,0.04,2.162,0.107,0.092,0.7668944,3.00E-07,3.00E-07,0.0143,0.001,0.001
NGTS-11 b,NGTS-11,0.862,0.028,0.028,0.37,0.14,0.14,35.455285,0.0002,0.0002,0.2,0.0021,0.0021
NGTS-12 b,NGTS-12,1.021,0.049,0.056,0.208,0.022,0.022,7.532806,4.80E-05,4.80E-05,0.0757,0.0014,0.0014
NGTS-13 b,NGTS-13,1.3,0.18,0.11,4.84,0.44,0.44,4.119027,2.30E-05,2.30E-05,0.0549,0.0025,0.0018
NGTS-14A b,NGTS-14A,0.898,0.035,0.035,0.092,0.012,0.012,3.5357173,6.90E-07,6.90E-07,0.0403,0.0071,0.0071
NGTS-15 b,NGTS-15,0.995,0.3,0.3,0.751,0.09,0.1,3.27623,1.00E-05,1.00E-05,0.0441,0.0046,0.0046
NGTS-16 b,NGTS-16,1.002,0.035,0.035,0.667,0.13,0.16,4.84532,2.00E-05,2.00E-05,0.0523,0.0064,0.0064
NGTS-17 b,NGTS-17,1.025,0.035,0.035,0.764,0.164,0.195,3.24253,1.00E-05,1.00E-05,0.0391,0.0043,0.0043
NGTS-18 b,NGTS-18,1.003,0.025,0.025,0.409,0.063,0.081,3.05125,1.00E-05,1.00E-05,0.0448,0.0068,0.0068
NGTS-2 b,NGTS-2,1.64,0.22,0.19,0.67,0.089,0.089,4.5111204,1.80E-06,1.80E-06,0.0584,0.0011,0.0011
NGTS-20 b,NGTS-20,1.47,0.09,0.09,2.98,0.16,0.16,54.18915,0.00015,0.00015,0.313,0.013,0.013
NGTS-21 b,NGTS-21,0.72,0.04,0.04,2.36,0.21,0.21,1.5433897,1.60E-06,1.60E-06,0.0236,0.0005,0.0005
NGTS-23 b,NGTS-23,1.01,0.07,0.07,0.613,0.1,0.1,4.076,4.10E-06,4.10E-06,0.0504,0.012,0.012
NGTS-24 b,NGTS-24,1.26,0.04,0.04,0.52,0.12,0.12,3.4678796,7.00E-06,7.00E-06,0.0479,0.003,0.003
NGTS-25 b,NGTS-25,0.91,0.04,0.04,0.639,0.052,0.058,2.823093,3.30E-06,3.30E-06,0.0388,0.002,0.0014
NGTS-3A b,NGTS-3A,1.017,0.093,0.093,2.38,0.26,0.26,1.6753728,3.00E-06,3.00E-06,0.023,0.0046,0.0065
NGTS-4 b,NGTS-4,0.75,0.02,0.02,0.0648,0.009,0.009,1.3373508,8.00E-06,8.00E-06,0.019,0.005,0.005
NGTS-5 b,NGTS-5,0.661,0.061,0.068,0.229,0.037,0.037,3.3569866,2.60E-06,2.60E-06,0.0382,0.0013,0.0013
NGTS-6 b,NGTS-6,0.7876,0.016,0.016,1.33,0.028,0.024,0.882058,1.00E-06,1.00E-06,0.016623018,1.00E-08,1.00E-08
NGTS-8 b,NGTS-8,0.89,0.05,0.05,0.93,0.04,0.04,2.4997,1.00E-05,1.00E-05,0.035,0.001,0.001
